,headlines,label
1017,Utyelele abaThembu eRode uSkwatsha,iindaba
1018,Imbasa kumfundi wezolimo uAnathi Kom,iindaba
1019,Linyuka ngamandla ixabiso leetapile,iindaba
1020,Babini ababulewe kwindawo yentselo eMaqhinebeni,iindaba
1021,Capa: ‘Sizakulwela amanina axhatshazwayo’,iindaba
1022,Isithwakumbe somama ozibulele nabantwana bakhe!,iindaba
1023,Ingozi emasikizi isube imiphefumlo yabantu abane eXesi!,iindaba
1024,URhulumente weMpuma Koloni uvule isibhedlele esixabisa iR680-million eNtabankulu!,iindaba
1025,Isivunguvungu somoya sisube imiphefumlo yababini eMpuma Koloni,iindaba
1026,Isidlwengu sigwetywe izihlandlo ezimbini zobomi,iindaba
1027,Kubanjwe abafazi abathathu abafunyenwe benentloko yenkomo ebiweyo!,iindaba
1028,Kuvalwe enye indawo yokubhaka ngenxa yokungacoceki,iindaba
1029,Kubhubhe abathathu konzakala abane kudubulwano eQonce,iindaba
1030,Ibhaqwe itshisiwe kwaye ibhubhile inkosikazi ebidukile!,iindaba
1031,Intsusa ibengu ‘mholo’ kwathukwana ngabasebenzi!,iindaba
1032,Ugwetywe iminyaka elishumi ngokuthengisa iziyobisi,iindaba
1033,Sisisi Tolashe phakama mfazi!,iindaba
1034,Umsasazi uchithe usuku lozalwa noonogada basesitalatweni!,iindaba
1035,Imbizo kaRamaphosa iza eMpuma Koloni,iindaba
1036,Ivaliwe indawo eyenza amaqebengwana ngenxa yobumdaka!,iindaba
1037,Isela leegusha eligwetyiweyo lithi enye yazixhelela yayitya!,iindaba
1038,Aah! Ngangomhlaba,iindaba
1039,UDLIWANONDLEBE NOMBHALI,iindaba
1040,Ashiyeke enoloyiko amanina ziziganeko zokubulawa kwawo,iindaba
1041,[IVIDIYO] USihle Maseko ucela uncedo,iindaba
1042,Aah!!! Lwaganda: UKumkani uNgqika,iindaba
1043,Konzakele oonogada ababini kuphango lwemoto ethwala imali!,iindaba
1044,Iinzame zokugcina ilifa likaMadiba,iindaba
1045,Axhamlile amaxhegwazana aseMonti ngosuku lukaMadiba!,iindaba
1046,Ubonwe xa kusiwa ukutya kwehagu ukuba akasaphili umakhulu!,iindaba
1047,"Afunyenwe ebulewe, enqunqwe amalungu atshiswa amakhosikazi abelahlekile",iindaba
1048,Ubanjiwe obeqhankqalaza watshisa iloli,iindaba
1049,Kubanjwe abahlanu malunga nokubalawa kwabantu kwaNobuhle!,iindaba
1050,‘Akukho nethiwekhi apha’,iindaba
1051,Utye imali kaRAF yomntakwabo nomntu ancuma naye,iindaba
1052,Akakafumaneki umama nomncedisi wakhe abaduke kwivenkile yabo!,iindaba
1053,Isisombululo kumkhwa wokubiwa kwemfuyo ezilalini,iindaba
1054,Amabutho angabakhusela abakhwetha,iindaba
1055,Zisavaliwe indlela ezithile ngenxa yekhephu,iindaba
1056,Zixatyelwe ngezembe iinkonde ngumzukulwana,iindaba
1057,Izidlwengu zaseLusikisiki zigwetywe ubomi entolongweni,iindaba
1058,Intengiso ekhangela umntu ogcina umntwana ngeR2500 ibangele ingxoxo,iindaba
1059,Nceda amapolisa afumane uSiviwe Mawanda,iindaba
1060,Bavele enkundleni nezilamane zabo abenze ubuqhophololo kwikholeji yeTVET,iindaba
1061,Ipolisa laseBityi libulewe lisemsebenzini,iindaba
1062,Ulutsha olukwilokishi yaseJoza luxhotyisiwe ngoqeqesho kushishino lwefilim,iindaba
1063,Uceba waseMbhashe ubulawe ngokungenalusini,iindaba
1064,[IMIFANEKISO] Ikhephu eMpuma Koloni,iindaba
1065,Ababesakuba ngabasebenzi basePosini babanjelwa ubuqhophololo,iindaba
1066,[IVIDIYO] Ukuphosa umva: Ibali lika tat’Matshini Zweni,iindaba
1067,[IVIDIYO] INYANGA YOLUTSHA: Iimbono zabafundi bezikolo eziphakamileyo abafunda ezolimo,iindaba
1068,USithole Mbanga uqeshwe njengeNtloko entsha yeSALGA,iindaba
1069,Umzukulwana uvela enkundleni ngokubulala umakhulu wakhe,iindaba
1070,INYANGA YOLUTSHA: UThaba Tukela,iindaba
1071,Lungenziwa utshintsho kwisiko lokwaluka,iindaba
1072,Indoda eyaxoka ngokugilwa yimoto igwetyiwe,iindaba
1073,‘Abazali bayasilela ukubalawula abantwana babo abasela ngokugqithiseleyo’,iindaba
1074,Imbasa kwindod’ ephulula iinwele zamabhinqa,iindaba
1075,[IVidiyo] Iindlela zaseZwartwater: Inkqubela phambili ukusuka ngoFebruwari kude kube ngoku,iindaba
1076,Kubanjwe abayi-533 eMpuma Koloni!,iindaba
1077,Imingeni yokufaka izicelo kwiiyunivesithi kubafundi basezilalini,iindaba
1078,UNqatha ubongoza uzinzo koonoteksi,iindaba
1079,Lizidubule ngompu ipolisa nomzala walo!,iindaba
1080,"Ubhubhane uchaphazele izakhono zokufunda, utsho uMotshekga",iindaba
1081,Zingaphezu kwe200 iinkomo ezifunyenwe eJoe Gqabi,iindaba
1082,Ubhaqwe esikwe ingono yebele nendlebe!,iindaba
1083,Ugwetywe ubomi esejele owaxabela umfazi umntwana ebukele,iindaba
1084,Umzukulwana uvele enkundleni ngezityholo zokubulala umakhulu wakhe,iindaba
1085,Ukubhiyozelwa kwedemokhrasi kunye neyantlukwano ngokusebenzisa amajelo asekuhlaleni,iindaba
1086,Iinkcukachamanani zolwaphulomthetho eMpuma Koloni,iindaba
1087,Ulutsha lwaseNew Brighton lufuna inkxaso!,iindaba
1088,Basanqunyanyisiwe ootishala abazuma abafundi!,iindaba
1089,Enkundleni abapakanyele intwazana ena5 beyidlwengula eNgqushwa,iindaba
1090,‘Bangazixheshi abebanga leshumi’,iindaba
1091,Banqunyanyisiwe ootitshala ekuthiwa bazuma abafundi!,iindaba
1092,Babini abapakanyele intwazana ena5 beyidlwengula,iindaba
1093,Kubhubhe amadoda amane kwingozi izolo!,iindaba
1094,Impolo yodwa kwabafumene izindlu ezintsha eBCM!,iindaba
1095,[IVIDIYO] Bathob’ unxano ngamanzi asemangcwabeni,iindaba
1096,Kudutyulwe isihlanu somz’omnye!,iindaba
1097,Lumkela izithuba ezibubuxoki zeIEC!,iindaba
1098,IR50 000 konolwazi ngenkwenkwana edukileyo,iindaba
1099,Kubanjwe abayi479 eMpuma Koloni!,iindaba
1100,Phantsi ngokuhlamba iphepha!,iindaba
1101,Bathob’ unxano ngamanzi asemangcwabeni,iindaba
1102,Sakuthothoza ubomi bonke ejele isidlwengu!,iindaba
1103,Ityala lokudlwengula nokubophelela unyana (8) kwindoda yaseNgqushwa,iindaba
1104,Bavela enkundleni abafundi baseFort Hare,iindaba
1105,"Imizimba etshileyo, eminye emlanjeni!",iindaba
1106,‘Bakhulula babeze bazonywaye abantwana bam ngenxa yeziyobisi’,iindaba
1107,IVeki yoKhuseleko lwaBantwana,iindaba
1108,LUMKA: UShoprite akaniki mali mboleko yakwaSASSA!,iindaba
1109,"Ukubulawa kwabantu kunyuke nge-3,4% eMzantsi Afrika!",iindaba
1110,Umsebenzi wakwaJumbo ubanjelwe ubusela,iindaba
1111,Ayikaveli inkosikazi eyaduka isiya eKlinikhi,iindaba
1112,Bazigqamise kukhuphiswano abafundi baseXhorha nakuGatyana,iindaba
1113,UAnesipho ulwe de kwasekupheleni,iindaba
1114,Igosa lolawulo lweCoega elinobuqhophololo ligwetywe iminyaka elishumi,iindaba
1115,Izikrelemnqa ziphefumla ngenxeba eNelson Mandela Bay,iindaba
1116,Izicwangciso ngendlela eneengozi ezimasikizi,iindaba
1117,Badudulelwe ngaphandle enkundleni kwelaseNyobeni,iindaba
1118,"Hlisani umoya, akukho mbane oza kumka iiveki, utsho uEskom",iindaba
1119,‘Ukumodelisha ayikokwamantombazana qha’,iindaba
1120,Huntshu bootitshala ngomsebenz’ omhle!,iindaba
1121,ISIDLWENGU SIKA-FACEBOOK ERHINI!,iindaba
1122,Ilifu elimnyama kwi-EFF eMpuma Koloni,iindaba
1123,IVEKI YOKHUSELEKO LWABANTWANA: Lumkela izidlwengu ebantwaneni!,iindaba
1124,Kufuniswa ngenkwenkwana edukileyo!,iindaba
1125,Babanjelwe ukuvala iindlela ngeeloli,iindaba
1126,Usejele otshise ngeayini isithandwa sakhe!,iindaba
1127,Batyhola  abasemagunyeni abashiyeke bedada  emanzini,iindaba
1128,Amayeza omgunyathi yingxaki ekhulayo,iindaba
1129,Incwadi owayesakuba ngumfundi waseWSU imiselwe ukufundisa,iindaba
1130,UMrs CT uphuhlisa ezilalini ngempumelelo yakhe,iindaba
1131,Uyangcwatywa ekutyholwa ukuba waguliswa sisigonyo sekhorona,iindaba
1132,Indoda ephulula iinwele zamabhinqa estratweni,iindaba
1133,Kuliwa neendawo zobugebenga eGqeberha,iindaba
1134,Uphando ngobhubhele kwibhulorho yaseMsikaba,iindaba
1135,Iimvumi zeMpuma Koloni zigoduke namawonga,iindaba
1136,Abaqeshi mababuyisele abasebenzi abonzakeleyo emsebenzini,iindaba
1137,Kubanjwe abahlasela iibhasi,iindaba
1138,Baza kubuyela emakhaya abahlala ehlathini,iindaba
1139,Kubhaqwe ibanjwa kwanqunyanyiswa amagosa,iindaba
1140,Ufakwe iayini eshushu ngenxa yekhondom!,iindaba
1141,Basesuphini abaqhathe uRAF,iindaba
1142,Ukwanda kweeselula ezintolongweni,iindaba
1143,Ulawulo kwizandla zamanina eAmathole,iindaba
1144,Wayekiswa kukubizwa ‘baby’ ziintsana ukuya eNyobeni,iindaba
1145,Inkxasomali kubenzi beefilim,iindaba
1146,Indoda ifunyenwe inesikhaxa sencanca!,iindaba
1147,Kufunwa ababulele amanina asePosini,iindaba
1148,Unogada waseNMU uthweswe isidanga sesibini,iindaba
1149,Amakhadi akwaSASSA aza kuphelelwa!,iindaba
1150,Bacela iBCM igawule umhadi woonqevu,iindaba
1151,Okhule kabuhlungu uphiliswe kukubhala imibongo,iindaba
1152,Ilahlekelwe iSADTU nesikolo saseGxulu,iindaba
1153,Imini kandancama kwababhujelwe ngumntwana otyiwe yinja!,iindaba
1154,Umbane weR100 olingana noweR20 eBCM,iindaba
1155,"Uzibhaqise ngoyokuchama, yabanjwa!",iindaba
1156,‘Uyayibaxa noko urhulumente waseUganda’ kutsho oGay,iindaba
1157,Umama ubhubhe enqandela unyana kubahlali,iindaba
1158,Ibulele umntwana kwakhona ipitbull!,iindaba
1159,Intombi ilwela umama kutata,iindaba
1160,Icebo lezibane kwilali yempalalogazi,iindaba
1161,Ukufezeka komnqweno  kubantwana  baseMfezeko,iindaba
1162,Ucelela uncedo intombi yakhe enethumba lomhlaza,iindaba
1163,Igosa elitsha kwiSebe lezeMfundo,iindaba
1164,Ubanjiwe orhanelwa ngokwenza ibango lobuxoki kwiRAF,iindaba
1165,Kuphandwa  ukuziphatha kakubi  kootitshala  ngokwesondo,iindaba
1166,Ugwetyelwe ukurhwaphiliza izithonga zemali!,iindaba
1167,Uzigqamisa ngemithungo yakhe umthungi,iindaba
1168,Intsumantsumane yamaphara eGcuwa,iindaba
1169,Olwela uxhatshazo  ubanjelwe ukuxhaphaza!,iindaba
1170,USodolophu omtsha weBCM,iindaba
1171,Libekwa kwikhaya lokugqibela igqala lewayilese,iindaba
1172,Bakhala ngendlala abasebenzi bakaSasol Garage waseGcuwa!,iindaba
1173,Kufuniswa ngomama waseNgqushwa odukileyo!,iindaba
1174,‘Oomama mabathathe indawo yabo kulwaluko!’,iindaba
1175,Kusisankxwe ngegama likaSibongile Mani,iindaba
1176,Amayeza aphelelweyo  kwiivenkile zooMy Friend eMonti,iindaba
1177,Abazokubala ngeminwe  eZwelivumile,iindaba
1178,UMajola uwongwe ngomsebenzi weenyembezi,iindaba
1179,Iinzame zokukhangeleka lula kweMaths kubafundi,iindaba
1180,Ukubaluleka kokufundwa kwencwadi,iindaba
1181,Isikolo saseDimbaza siphuculwe ngobugcisa,iindaba
1182,Ukukhanya ekupheleni kwetonela kumfundi waseFort Hare,iindaba
1183,"Intwazana,4, itshone kwindlu yangasese esikolweni",iindaba
1184,Kubulewe abahlanu ngompu eLusikisiki,iindaba
1185,Amasela emke noosinga-iPhone eGqeberha,iindaba
1186,Abangaboniyo baza kuxhamla kwithala laseDimbaza,iindaba
1187,Mabahlukuhle abakhulelweyo!,iindaba
1188,Ominyaka elithoba uziqaqambisa koonobuhle,iindaba
1189,"Mabuyane: Xhasani iANC, hayi iziqu",iindaba
1190,Enkundleni ababanjelwe ukubulala kuThantseka,iindaba
1191,Amanyathelo kutitshala osulise abantwana umgabho wakhe!,iindaba
1192,‘Kudala ndafuna ukuba nguGqirha’,iindaba
1193,Umfundi ubulewe ngabanye ngenxa kaFacebook,iindaba
1194,Amapolisa ataka xa kumangala amaphara!,iindaba
1195,Ubeleka umama wakhe ongakwazi kuhamba ngenxa yendlela embi,iindaba
1196,Bashiyeke belungisa iindlela emva kwezikhukhula,iindaba
1197,Udilikajele kunyana owabulala abazali ngenxa yemali,iindaba
1198,Ubhubhe ecela uxolo ofele ibhotile yotywala,iindaba
1199,Iyangcwatywa inkosikazi edutyulwe ibala imali,iindaba
1200,Ukhuphiswano lwabafundi kwimibongo,iindaba
1201,Iminyaka eyi-75 esejele ngobuqhophololo,iindaba
1202,Imingeni kacimicimi kwi-Icamagu,iindaba
1203,Ujonge imbasa  umbutho wabaphila nenkubazeko,iindaba
1204,Ubume bezoqoqosho obukhoyo bufuna iindlela ezintsha zokwenza izinto,iindaba
1205,Bakhuphe iR4600 kwathiwa kugcwele eWSU,iindaba
1206,Ophumelele emagqabini ufuna ukubayinjineli,iindaba
1207,Isizathu sokungafuni kuvula tyala kumanina eGBV,iindaba
1208,Ukutya kooMy Friend okuphelelweyo!,iindaba
1209,"‘Sinoxolo, kodwa asiqinisekanga de kube nini’",iindaba
1210,Izidumbu zeempuphuma!,iindaba
1211,Uza kufakwa kuluhlu lwabadlwenguli!,iindaba
1212,Benza utshintsho  kwabasweleyo,iindaba
1213,Babanjiwe abanyanzelise umtshato kokhubazeke ngengqondo,iindaba
1214,Umfama uphangwe ngabantu abazenza amapolisa,iindaba
1215,Umbhali wencwadi yesiXhosa ungenele uMiss Teen,iindaba
1216,Abathandana besinisinye abafuni kushiyeka kwiSONA,iindaba
1217,Ulele ebaliwe ona50 ngokudlwengula ona21,iindaba
1218,Usokola isikolo umakoti ogqwese kuGrade 12,iindaba
1219,Badada emanzini kuKomani!,iindaba
1220,Izidumbu zompu  ezilishumi,iindaba
1221,Ubuyel’ ekhaya elikrwala ngoncedo lwabahlali,iindaba
1222,Iposi yolula isandla ngoSuku loMhlaza,iindaba
1223,Iinqanawa ziza kuphucula ukhenketho lwaseMonti,iindaba
1224,Bheki Cele: ‘Asijongi buso bezopolitiko’,iindaba
1225,Alibethelwa nangudo igosa eliphezulu eladlwengula umntwana!,iindaba
1226,Omnye umrhanelwa ekuxhwilweni kwexhego eMbizana,iindaba
1227,Baninzi oogqirha abangaphangeliyo kweli,iindaba
1228,Abasibhozo babulewe kwitheko lokuzalwa,iindaba
1229,Imfundo yeyomntu wonke eAlfred Nzo,iindaba
1230,Kubanjwe amasela eentambo zombane eCecilia Makiwane,iindaba
1231,Ugqobhoze kushishino olugcwele amadoda,iindaba
1232,Liyangcwatywa igqala lembongi yomthonyama,iindaba
1233,Amapolisa alumkisa abaneemoto zodidi oluphezulu,iindaba
1234,Uqaqambise iQaqamba  ngokugqwesa esiXhoseni,iindaba
1235,Amaqela abeke esweni ulwaluko aqhwatywele izandla!,iindaba
1236,Amapolisa abambe abanemipu engekho mthethweni,iindaba
1237,Owasetyhini uhlatyelwe  evenkileni wabhubha!,iindaba
1238,Iyaphela imizi ngumlilo eSajonisi,iindaba
1239,Ubomi ejele kowadlwengula emgidini!,iindaba
1240,Ubethwe wabulawa ngenxa yekhadi likaSASSA,iindaba
1241,Kugxothwe usathana ophehluzelisa iGcuwa!,iindaba
1242,Ikhadi likaSASSA lisasebenza,iindaba
1243,Ukunyuka kombane kuza kugrumba iimpokotho,iindaba
1244,Ulwazi neNyanga zibuye nodumo kwakhona!,iindaba
1245,Kuliwa izirogriso zemibutho yoonoteksi ezithi akuzuhanjwa ngoLwesithathu!,iindaba
1246,Kudlalwa ugqaphu nopuca kule Krismesi,iindaba
1247,Ingaba abaseNyobeni basaqhuba noshishino?,iindaba
1248,"‘Sishishina ngemizimba, sizamela iintsapho!’",iindaba
1249,Kubhubhe abathwala izidumbu!,iindaba
1250,Ubhaqwe ebhegini obeyokukhangela umsebenzi!,iindaba
1251,Owezempilo unqunyanyiselwe ukudlwengula isigulana,iindaba
1252,ISebe licela uncedo emva kokubhubha kwabakhwetha abahlanu,iindaba
1253,IMpuma Koloni ilungele ixesha leziyunguma,iindaba
1254,Kukhangelwa uBra Mzi,iindaba
1255,Bayaziyeka iiARV kuba ziyabalambisa!,iindaba
1256,Iminyaka elithoba yokukhumbula uRholihlahla,iindaba
1257,Ihostele entsha yabafundi abaneemfuno ezizodwa,iindaba
1258,Uyakukhunjulwa ngokuthanda abantwana umbhali wesiXhosa,iindaba
1259,Ityala lokubulala kogqejwe ngelitye,iindaba
1260,“Uluntu maluve ubukho bamapolisa”,iindaba
1261,Umalume ubanjelwe ukubulala umtshana (5) ngomhlakulo,iindaba
1262,Ukuphuculwa kweendlela zeMpuma Koloni,iindaba
1263,Izinga leempahla zefashoni eGinsberg,iindaba
1264,Iyabekwa iNkosikazi yamaNgqusi egetyengiweyo!,iindaba
1265,Iminyaka ejele  ngokudlwengula uninakhulu (85),iindaba
1266,Ukuhlamba iphepha kwantoni?,iindaba
1267,Likwezimnyama ipolisa elithenge idokethi!,iindaba
1268,OwaseCawa uqwengwe zizinja ezintathu,iindaba
1269,Inkosikazi yasePort Alfred ibulewe zizinja,iindaba
1270,Ubomi babo bonke ejele!,iindaba
1271,Urhulumente ufuna imali ukuze uEskom athenge idizili,iindaba
1272,Igumbi elitsha lokuqeqesha abanezidingo ezikhethekileyo,iindaba
1273,"Bubuxoki, alitshintshwa ikhadi lendodla!",iindaba
1274,Bajike bazizilwanyana kwinzala yabo!,iindaba
1275,ULobese utyunjwe njengeNgqonyela yoMkhosi waManzi,iindaba
1276,Basenkundleni abaseNyobeni,iindaba
1277,Libanjiwe igqirha eliloba abantu ngoTiktok!,iindaba
1278,Utata ubulele abantwana bakhe,iindaba
1279,Ubhubhile obetyholwa ngokubulala inzala yakhe,iindaba
1280,Kubuyiselwe ukubona kwabo bangaboniyo,iindaba
1281,Ugwetyelwe ukudlwengula uMfundisi waseWisile,iindaba
1282,Amaxhoba ashishina ngezakhono zawo,iindaba
1283,Ikhwelo lokuthintela iipitbull,iindaba
1284,Umdlalo wokunqanda iGBV,iindaba
1285,Ubizo lwenu befundisi lunobungozi,iindaba
1286,Isilumkiso kwabo boyikisa uluntu ngohlaselo,iindaba
1287,Abazili abayi-7  badutyulwe babhubha eMthatha,iindaba
1288,Kukhangelwa obulele owasetyhini eMthatha,iindaba
1289,UMantyi ubulewe phambi kweentsana zakhe,iindaba
1290,Kusinde imveku bebulawa ziimbumbulu,iindaba
1291,Babuye bengenamakhaya ngumlilo,iindaba
1292,Inkxaso kwintombi yesizwe sabaThembu,iindaba
1293,Intlungu yokutsha koMfundisi nosapho lwakhe,iindaba
1294,Ixesha lolwaluko lwehlobo luvulwe ngokusesikweni,iindaba
1295,Chatha abaphulaphuli kuMhlobo neTruFM,iindaba
1296,Ufunyenwe eneziyobisi kwaye ebhubhile,iindaba
1297,Ubomi ejele kowabulala ancuma nabo ngeKrisimesi,iindaba
1298,Umama ubanjelwe ukubulala abantwana abane!,iindaba
1299,Abantwana abathathu babhaqwe bebhubhile,iindaba
1300,Iinkcukacha ngomngcwabo kaNqontsonqa,iindaba
1301,Kwathiwa makagqibe isikolo kuqala ukuze abeGay,iindaba
1302,Okuhle kodwa maGrade12!,iindaba
1303,Ootitshala abadlwengula abafundi bababukelise namanyala,iindaba
1304,Udilikajele kwinkazana eyabulala umamazala nomolokazana!,iindaba
1305,Umzimba womfundi ubhaqwe emlanjeni,iindaba
1306,"Utata, umama nonyana batshe babhubha",iindaba
1307,"Iwile imbongi, ulele  uNqontsonqa!",iindaba
1308,"Ayisekho intatheli, uMbulelo Sisulu",iindaba
1309,Ugwetyelwe ukubulala ikrexe lakhe,iindaba
1310,Bafumene iilayisenisi zokuqhuba abakhubazekileyo,iindaba
1311,Sponsored content,iindaba
1312,Kuvunwe ipayina eNgqushwa,iindaba
1313,Ude waya ePortugal uEsona,iindaba
1314,Uncumo kwabazalwa becandeke imilebe,iindaba
1315,Ubomi bukhe bakrakra kofuna ukusasaza,iindaba
1316,Ubomi ejele kowabulala isithandwa sakhe eQonce,iindaba
1317,Ithuba lokukhula kwabasakhasayo,iindaba
1318,Uphelelwe ngamazwi obenxityiswa esobufundisi,iindaba
1319,Izandla zakhe zimenza alale etyile,iindaba
1320,Iseziseleni ititshala ebulele igosa lezendlela,iindaba
1321,ULa Tesh uvule ivenkile yeempahla eMonti,iindaba
1322,"Omnye ubanjiwe, abathandathu basafunwa!",iindaba
1323,Uzibona engenakhaya ngenxa yeeteki!,iindaba
1324,Ikhwelo lokupheliswa kwezinja eziyingozi,iindaba
1325,Aqhweshe ngefestile amabanjwa eMakhanda!,iindaba
1326,Kubhubhe amadoda asibhozo eTinarha!,iindaba
1327,UMphathiswa ugxeka ukutshiswa kwendlu kaSodolophu,iindaba
1328,Babuya bephilile kodwa  bengafundanga nto,iindaba
1329,Ityala lomyeni owangcwabela umfazi endlini,iindaba
1330,Iminyaka eyi40 yeMBLA,iindaba
1331,Kuphume imiphefumlo amapolisa edubulana noonqevu,iindaba
1332,Abathathu babhubhele kwithaveni yaseMqhekezweni,iindaba
1333,Kuthe huu kwabafumene izindlu eDimbaza,iindaba
1334,IMandelwa Libali ikhuthaza ukufunda amabali,iindaba
1335,UGqomo ebedibanisa iintlambo ezalanayo,iindaba
1336,Ulwandle luphinde lwaginya umntu eMonti,iindaba
1337,AbaseChina babanjwe namangquba neembatyisa,iindaba
1338,Bangangawuboni umzimba wentombi yabo ebhubhele eChina,iindaba
1339,Iseza kubande indlela kweyaseNyobeni,iindaba
1340,Isebe lezeKhaya lirhoxise imitshato yobuqhophololo engama-553,iindaba
1341,Umakhulu (56) ugwintwe nomzukulwana (3),iindaba
1342,Umzobi uzisula iinyembezi ngokuzoba umama wakhe,iindaba
1343,Wamdilizela umzi akugqiba wambulala kuba emtyala,iindaba
1344,UMtshutshisi ujongene nezityholo zokudlwengula,iindaba
1345,Uchithe usuku lokuzalwa  kwisikolo sakhe iQakazana,iindaba
1346,‘Kusemdleni wethu sonke ukulungisa ulawulo’,iindaba
1347,Kukahlanu betshiselwa isikolo ‘yinto engaziwayo’,iindaba
1348,Lisesuphini ibanjwa elinefowuni,iindaba
1349,Inkwenkwana ena10   iqwengwe zizinja!,iindaba
1350,Ukusebenza kwamayeza esintu nawasentshona,iindaba
1351,Kukhuthazwa ulutsha luziqalele amashishini,iindaba
1352,Unyana ubhubhe noyise ezama ukunqanda,iindaba
1353,Kungasa ebhubhile ukuba uyathetha!,iindaba
1354,Babhubhe belungiselela ukungcwaba eNgcobo,iindaba
1355,Udutyulwe wabhubha uceba nonyana wakhe!,iindaba
1356,Linzulu inxeba kusapho lwepolisa elidutyulwe eNgcobo,iindaba
1357,Iziyobisi zamenza wabulala kabuhlungu abatshana,iindaba
1358,Achithiwe amatyotyombe ebenwenwa okomlilo eQuigney,iindaba
1359,Usifakile isicelo sedikhowuda ePosini?,iindaba
1360,Nceda kungcwatywe uWonga Booi,iindaba
1361,Ubomi bentombi eyayixhomekeke kuMprofeti woBuxoki,iindaba
1362,Umama nosana lwakhe batshele etyotyombeni,iindaba
1363,Intwazana ena4 ibulewe ngumbane,iindaba
1364,Inkxaso yamanzi kwizikolo zaseBCM,iindaba
1365,BAKHALA NGABATHENGI ABATHENGISA NGOMZIMBA,iindaba
1366,Ubomi ejele kuMfundisi odlwengulayo,iindaba
1367,Ulele ebaliwe onyolukele isigidi,iindaba
1368,Iidolophu ezinyhukunyhuku bubugebenga!,iindaba
1369,Iwonga lesidanga sobuGqirha  kuMadosini,iindaba
1370,Kubhubhe ipolisa noonqevu kutshintshiselwana ngeembumbulu,iindaba
1371,UMbulelo uya kunqandwa zinkwenkwezi  kwezolonwabo,iindaba
1372,Abantu abaninzi kulindeleke ukuba bafumane iiR350,iindaba
1373,Bathi kudlalwa ngabo abazali baseNyobeni,iindaba
1374,Balala phandle abanikwe uphum’ aphele yilali,iindaba
1375,Ubanjiwe owasetyhini  obulele owakwakhe,iindaba
1376,Lixokile ipolisa kanti lifuna ukuyuruza,iindaba
1377,‘Bendimnqandile!’,iindaba
1378,Bukrakra ubomi kuZweni,iindaba
1379,Azaziwa izidumbu ezihlanu eGcuwa,iindaba
1380,Udlwengulwe lipolisa eyokuvula ityala!,iindaba
1381,Ulwimi lwenkobe kwiimviwo zikaGrade 12,iindaba
1382,Basafuna iimpendulo abazali baseNyobeni,iindaba
1383,Ukhunjulwe umfundi owanqunqwa wafakwa etyesini,iindaba
1384,"Kubhubhe amadoda  ethaveni, kwabanjwa umnikazindawo",iindaba
1385,Ubulungisa kwinkondekazi eyabhubhela “ukuthakatha”,iindaba
1386,Uvele enkundleni umnikazi waseNyobeni,iindaba
1387,Babhaqiwe ooMy Friend abathengisa ukutya okuphelelweyo,iindaba
1388,Ubusela nokonakaliswa kwempahla yingxaki kuMasipala,iindaba
1389,Abafundi banikwa iqonga lokuvakalisa izimvo,iindaba
1390,Libuyiselwe ityala lobuqhophololo laseAmathole!,iindaba
1391,Unkankaza ejele onezidumbu ezithathu!,iindaba
1392,Lukhuselekile usana  oluzalelwe phantsi kwebhulorho,iindaba
1393,"Abanye bayangena, abanye bayaphuma eBhisho",iindaba
1394,Kuntsuku inyamelele inkosikazi yaseGqeberha,iindaba
1395,Isebe leZothutho liphehlelele iphulo elithi ‘Operation Vala Zonke’ izigingqi ezindleleni!,iindaba
1396,‘Ukungabhodli kwenza umsindo nenzondo’,iindaba
1397,Ubabalwe ngendlu entsha kraca okhubazekileyo,iindaba
1398,Ugwetyiwe obencumisana nomama omdala!,iindaba
1399,Ijikajikana neengcinga eziseleni inqununu,iindaba
1400,‘Okwenzeke Enyobeni kube sisifundo’,iindaba
1401,Linobungozi ipolisa eliqhweshe enkundleni,iindaba
1402,Uza kubolela ejele odlwengule umheza,iindaba
1403,Amanina amabini antyumpantyumpeka kwityala lobusela!,iindaba
1404,Uzibulele umfundi ona14 obethukelwa ukuba-gay!,iindaba
1405,Abasasazi baphakamise uGatyana kwiiSATMA,iindaba
1406,YiDumalisile eyenze uTebelele,iindaba
1407,Aliwuvali umlomo ixhego laseDeberha,iindaba
1408,Urhaxwe ngumsi obezojela wabhubha!,iindaba
1409,Isigwebo ngokuphangwa kwesikolo soonomngqushwana,iindaba
1410,Abantwana baseNgqushwa bafundiswa ngezakhono,iindaba
1411,Uswelekile umdlali weRhythm City,iindaba
1412,Kubanjwe ababela abangasekhoyo  eNyobeni,iindaba
1413,Kubanjwe ona22 ngokubhubha kona11,iindaba
1414,Unyaka uphelile bafundi,iindaba
1415,Ligwetyelwe ukubulala ipolisa!,iindaba
1416,Indlela yokunqanda oosaziwayo ekuzibulaleni,iindaba
1417,Abazali bakhala ngesiLungu esiquzileyo kweyaseNyobeni,iindaba
1418,Ayimpoxo amapolisa ophula umthetho,iindaba
1419,Isazisi sokungena ethaveni,iindaba
1420,Umakhulu wamoyikisa umzukulwana odlwenguliweyo,iindaba
1421,Kheth’ omthanda njengofish ecaweni,iindaba
1422,"Ubanjiwe, kodwa babulewe yintoni abantwana Enyobeni?",iindaba
1423,1983-2022: Ulufezile ugqatso lwakho B.K!,iindaba
1424,Utata udubule unyana wabhubha,iindaba
